job title,company,experience,salary,location,education,python,r,sql,excel,vba,powerbi,tableau,nosql,sas,git,matlab
Data Scientist,Capgemini,9 - 14 years,Not Disclosed,"Noida, Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Bangalore/BengaluruView More",bachelor  master ,python,r,sql,excel,,powerbi,tableau,,sas,,matlab
Analystics & Modeling Specialist,Accenture,6 - 8 years,Not Disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/BengaluruView More",bachelor  master ,python,,,,,,,,,,
Data Science Specialist,Accenture,2 - 4 years,Not Disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/BengaluruView More",bachelor  master ,python,r,,excel,vba,,,,,,
Data Engineer,Hexaware Technologies,6 - 10 years,Not Disclosed,"Pune, Chennai, Mumbai (All Areas)View More",bachelor ,python,,sql,,,,,,,git,
Senior Data Scientist,GE,6 - 10 years,Not Disclosed,Bangalore/BengaluruView More,bachelor  master ,python,,,excel,,,,,,git,
Data Scientist (Associate / Assistant Vice President),Deutsche Bank,10 - 16 years,Not Disclosed,"Jaipur, Bangalore/BengaluruView More",bachelor ,python,,sql,excel,,,tableau,,,,
Lead Data Scientist,Birlasoft,8 - 12 years,"₹ 22,50,000 - 25,00,000 P.A.","Noida, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)View More",bachelor ,python,r,,,,,,,,,
Data Scientist,Birlasoft,8 - 12 years,"₹ 22,50,000 - 25,00,000 P.A.","Noida, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)View More",bachelor ,python,r,,,,,,,,,
Data Scientist,IBM,6 - 8 years,Not Disclosed,MumbaiView More,bachelor  master ,python,,,excel,,,,,,git,
DATA SCIENTIST,Mindtree,3 - 7 years,Not Disclosed,Bangalore/BengaluruView More,bachelor  master ,python,r,sql,,,,,,,git,
Tableau,Schneider Electric,3 - 6 years,Not Disclosed,Bangalore/BengaluruView More,bachelor  master ,python,,sql,excel,,,tableau,,,,
Data Engineer Platform Dev,Mindtree,1 - 5 years,Not Disclosed,Bangalore/BengaluruView More,bachelor  master ,python,,,,,,,,,,
Staff Data Analyst,Walmart,10 - 14 years,Not Disclosed,Bangalore/BengaluruView More,bachelor  master ,python,r,sql,,,powerbi,tableau,,,,
Data Scientist Knowledge graph,Capco,7 - 12 years,Not Disclosed,"Pune, Bangalore/BengaluruView More",bachelor ,python,,,,,,,,,,matlab
